Uzorak,m,Algoritam,Vrijeme,Udaljenost
100bp/mutated_60_perc.fasta,100,Edlib,0.4523,47
100bp/mutated_60_perc.fasta,100,Edlib (path),0.4637,47
100bp/mutated_60_perc.fasta,100,LandauVishkin,0.0649,47
100bp/mutated_70_perc.fasta,100,Edlib,0.4543,35
100bp/mutated_70_perc.fasta,100,Edlib (path),0.4565,35
100bp/mutated_70_perc.fasta,100,LandauVishkin,0.0376,35
100bp/mutated_80_perc.fasta,100,Edlib,0.4520,22
100bp/mutated_80_perc.fasta,100,Edlib (path),0.4626,22
100bp/mutated_80_perc.fasta,100,LandauVishkin,0.0197,22
100bp/mutated_90_perc.fasta,100,Edlib,0.4520,9
100bp/mutated_90_perc.fasta,100,Edlib (path),0.4540,9
100bp/mutated_90_perc.fasta,100,LandauVishkin,0.0075,9
100bp/mutated_94_perc.fasta,100,Edlib,0.4531,7
100bp/mutated_94_perc.fasta,100,Edlib (path),0.4546,7
100bp/mutated_94_perc.fasta,100,LandauVishkin,0.0071,7
100bp/mutated_97_perc.fasta,100,Edlib,0.4541,4
100bp/mutated_97_perc.fasta,100,Edlib (path),0.4538,4
100bp/mutated_97_perc.fasta,100,LandauVishkin,0.0058,4
100bp/mutated_99_perc.fasta,100,Edlib,0.4534,2
100bp/mutated_99_perc.fasta,100,Edlib (path),0.4557,2
100bp/mutated_99_perc.fasta,100,LandauVishkin,0.0054,2
