Uzorak,m,Algoritam,Vrijeme,Udaljenost
50bp/mutated_60_perc.fasta,50,Edlib,0.4526,22
50bp/mutated_60_perc.fasta,50,Edlib (path),0.4529,22
50bp/mutated_60_perc.fasta,50,LandauVishkin,0.0158,22
50bp/mutated_70_perc.fasta,50,Edlib,0.4511,15
50bp/mutated_70_perc.fasta,50,Edlib (path),0.4585,15
50bp/mutated_70_perc.fasta,50,LandauVishkin,0.0097,15
50bp/mutated_80_perc.fasta,50,Edlib,0.4552,11
50bp/mutated_80_perc.fasta,50,Edlib (path),0.4506,11
50bp/mutated_80_perc.fasta,50,LandauVishkin,0.0060,11
50bp/mutated_90_perc.fasta,50,Edlib,0.4501,4
50bp/mutated_90_perc.fasta,50,Edlib (path),0.4520,4
50bp/mutated_90_perc.fasta,50,LandauVishkin,0.0028,4
50bp/mutated_94_perc.fasta,50,Edlib,0.4527,3
50bp/mutated_94_perc.fasta,50,Edlib (path),0.4529,3
50bp/mutated_94_perc.fasta,50,LandauVishkin,0.0026,3
50bp/mutated_97_perc.fasta,50,Edlib,0.4508,3
50bp/mutated_97_perc.fasta,50,Edlib (path),0.4523,3
50bp/mutated_97_perc.fasta,50,LandauVishkin,0.0027,3
50bp/mutated_99_perc.fasta,50,Edlib,0.4505,1
50bp/mutated_99_perc.fasta,50,Edlib (path),0.4540,1
50bp/mutated_99_perc.fasta,50,LandauVishkin,0.0024,1
