Uzorak,m,Algoritam,Vrijeme,Udaljenost
500bp/mutated_60_perc.fasta,500,Edlib,0.4566,239
500bp/mutated_60_perc.fasta,500,Edlib (path),0.4609,239
500bp/mutated_60_perc.fasta,500,LandauVishkin,3.7646,239
500bp/mutated_70_perc.fasta,500,Edlib,0.4558,180
500bp/mutated_70_perc.fasta,500,Edlib (path),0.4606,180
500bp/mutated_70_perc.fasta,500,LandauVishkin,1.9114,180
500bp/mutated_80_perc.fasta,500,Edlib,0.4532,108
500bp/mutated_80_perc.fasta,500,Edlib (path),0.4591,108
500bp/mutated_80_perc.fasta,500,LandauVishkin,0.3591,108
500bp/mutated_90_perc.fasta,500,Edlib,0.4519,63
500bp/mutated_90_perc.fasta,500,Edlib (path),0.4666,63
500bp/mutated_90_perc.fasta,500,LandauVishkin,0.1533,63
500bp/mutated_94_perc.fasta,500,Edlib,0.4560,28
500bp/mutated_94_perc.fasta,500,Edlib (path),0.4592,28
500bp/mutated_94_perc.fasta,500,LandauVishkin,0.0536,28
500bp/mutated_97_perc.fasta,500,Edlib,0.4611,15
500bp/mutated_97_perc.fasta,500,Edlib (path),0.4798,15
500bp/mutated_97_perc.fasta,500,LandauVishkin,0.0349,15
500bp/mutated_99_perc.fasta,500,Edlib,0.4529,7
500bp/mutated_99_perc.fasta,500,Edlib (path),0.4577,7
500bp/mutated_99_perc.fasta,500,LandauVishkin,0.0291,7
